"date","date.mean","holiday","new_thanks","high.temp","low.temp","humidity","rain","temp","wind"
"2016-12-20",0.283162481536189,0,0,12,3.1,78.9166666666667,0,7.07083333333333,1.23333333333333
"2016-12-21",0.28412389380531,0,0,15.5,6,85.625,1,11.1291666666667,3.37916666666667
"2016-12-22",0.275047970479705,0,0,7.7,0.8,77.6666666666667,1,3.97916666666667,4.86666666666667
"2016-12-23",0.262481918819188,0,0,0.4,-2.1,74.1666666666667,1,-0.416666666666667,2.725
"2016-12-24",0.317070110701107,1,0,0.9,-3.8,72.5,0,-1.07916666666667,1.15416666666667
"2016-12-25",0.30249963099631,1,0,5.3,-1.1,76.7083333333333,0,2.51666666666667,0.583333333333333
"2016-12-26",0.252669128508124,0,0,5.2,0.6,77.5416666666667,1,3.6125,2.00416666666667
"2016-12-27",0.269167157584683,0,0,0.9,-6.7,60.375,0,-2.32083333333333,3.12083333333333
"2016-12-28",0.266129197080292,0,0,2.2,-3.5,63.2083333333333,1,-0.620833333333333,1.52916666666667
"2016-12-29",0.260826627651792,0,0,1,-5.8,63.5833333333333,0,-2.62083333333333,2.22916666666667
"2016-12-30",0.285464128843338,0,0,3.3,-3.8,74.4166666666667,1,1.10416666666667,1.31666666666667
"2016-12-31",0.367442406456346,1,0,6.6,1.7,80.2083333333333,0,3.44583333333333,0.866666666666667
"2017-01-01",0.37917340191036,1,0,10.2,3.1,79.7916666666667,0,6.025,1.22083333333333
"2017-01-02",0.329234604105572,0,0,10.4,0,78.5833333333333,0,5.09583333333333,1.4125
"2017-01-03",0.22553536121673,0,0,8.7,2,72.375,0,4.40833333333333,1.15
"2017-01-04",0.352885546588408,0,0,9,2.6,58.4166666666667,0,5.35,1.46666666666667
"2017-01-05",0.304802351212344,0,0,7.6,2.5,60.5833333333333,0,6.1625,2.35
"2017-01-06",0.315748520710059,0,0,11.2,-1.8,79.625,0,4.32083333333333,1.2
"2017-01-07",0.345595150624541,1,0,9,0.3,69.875,0,6.06666666666667,1.66666666666667
"2017-01-08",0.339496698459281,1,0,11.4,2.7,69.375,0,6.06666666666667,2.40833333333333
"2017-01-09",0.302027126099707,0,0,5.3,-3.3,63.2083333333333,0,0.616666666666667,2.13333333333333
"2017-01-10",0.302019033674963,0,0,2.6,-6.8,56.75,0,-1.8375,2.2375
"2017-01-11",0.303062637362637,0,0,2.9,-4,69.1666666666667,1,-0.2,1.4125
"2017-01-12",0.297557509157509,0,0,2.9,-4.9,63.0833333333333,1,-1.72916666666667,1.42083333333333
"2017-01-13",0.305122794117647,0,0,-1.2,-5.9,57.5833333333333,1,-3.2375,3.00833333333333
"2017-01-14",0.242798048048048,1,0,-3.4,-7.6,42.25,0,-5.46666666666667,2.62916666666667
"2017-01-15",0.287154906731549,1,0,-0.4,-7.5,53,0,-3.64166666666667,1.44166666666667
"2017-01-16",0.281977635782748,0,0,3.2,-7.7,62.5833333333333,0,-2.96666666666667,0.970833333333333
"2017-01-17",0.345530537159676,0,0,4.1,-4.4,68.2083333333333,0,0.104166666666667,0.641666666666667
"2017-01-18",0.283626745040411,0,0,4.9,-3.2,74.125,1,0.233333333333333,2.02916666666667
"2017-01-19",0.290304886943837,0,0,6,-2.9,70.375,1,-0.154166666666667,2.9
"2017-01-20",0.276324580598104,0,0,-1.3,-6.8,73.0416666666667,0,-4.01666666666667,4.07083333333333
"2017-01-21",0.319503649635037,1,0,1.3,-4.6,68.9583333333333,1,-1.65,5.2375
"2017-01-22",0.322110989010989,1,0,-3.3,-6,53.0416666666667,0,-4.7375,6.25416666666667
"2017-01-23",0.314667885881492,0,0,-2.4,-9.1,63.25,0,-5.63333333333333,4.7375
"2017-01-24",0.327421897810219,0,0,-0.3,-9,65.5416666666667,0,-4.9375,3.40416666666667
"2017-01-25",0.339584974471189,0,0,2.2,-6.9,69.2083333333333,0,-3.19166666666667,1.45416666666667
"2017-01-26",0.411360524399126,0,0,5.9,-3,71.8333333333333,1,1.9125,5.39166666666667
"2017-01-27",0.654271532846715,0,1,1,-6.5,54.8333333333333,0,-2.8375,3.72916666666667
